DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1974,73.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1975,74.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1976,73.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1977,74.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1978,74.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1979,74.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1980,74.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1981,74.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1982,74.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1983,74.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1984,74.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1985,74.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1986,74.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1987,74.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1988,74.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1989,74.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1990,74.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1991,75.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1992,75.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1993,75.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1994,75.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1995,75.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1996,75.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1997,76.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1998,76.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,1999,76.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2000,76.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2001,77.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2002,77.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2003,77.4,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2004,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2005,78.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2006,78.4,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2007,78.4,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2008,78.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2009,79.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2010,79.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2011,79.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2012,80.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2013,80.4,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2014,80.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2015,80.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2016,80.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2017,81.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2018,81.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2019,81.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2020,81.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,DK,2021,81.4,e
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1985,75.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1986,75.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1987,76.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1988,76.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1989,77.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1990,77.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1991,77.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1992,77.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1993,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1994,78.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1995,78.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1996,78.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1997,79.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1998,79.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,1999,79.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,2000,79.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,T,Y_LT1,IT,2001,80.3,
