imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt0068646,8.9,813223,389002,192260,76045,29201,16157,8222,6120,5790,36654
tt0111161,9.1,1259076,582166,264604,84779,25558,13167,6419,4615,4303,34158
tt0120737,8.7,614886,448533,307367,129205,45458,22152,10727,8085,6800,26707
tt0468569,8.9,1006449,629582,344047,134153,48430,22713,11230,7942,7063,30006
