DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,T,TR,1966,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,T,TR,2020,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,T,TR,1966,784990,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,T,TR,2020,1249728,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,T,TR,1966,1005465,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,T,TR,2020,1272307,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,T,TR,1966,608431,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,T,TR,2020,1313236,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,T,TR,1966,880380,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,T,TR,2020,1304694,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y13,T,TR,1966,713862,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y13,T,TR,2020,1266910,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y14,T,TR,1966,706678,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y14,T,TR,2020,1249023,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y15,T,TR,1966,772905,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y15,T,TR,2020,1228816,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y16,T,TR,1966,607884,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y16,T,TR,2020,1207486,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,T,TR,1966,529133,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,T,TR,2020,1228151,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,T,TR,1966,688798,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,T,TR,2020,1319650,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,T,TR,1966,396174,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,T,TR,2020,1347491,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,T,TR,1966,1000339,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,T,TR,2020,1294179,
