DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,2000,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,2010,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,2020,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,2000,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,2010,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,2020,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,2000,703514,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,2010,606733,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,2020,608482,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,2000,731514,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,2010,640045,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,2020,641246,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,2000,617547,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,2010,652821,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,2020,618640,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,2000,645541,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,2010,685124,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,2020,653667,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,2000,606519,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,2010,645321,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,2020,639612,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,2000,636016,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,2010,679386,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,2020,673624,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,F,TR,2000,604989,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,F,TR,2010,639361,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,F,TR,2020,635074,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,M,TR,2000,634984,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,M,TR,2010,674832,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,M,TR,2020,669620,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y13,F,TR,2000,612967,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y13,F,TR,2010,616606,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y13,F,TR,2020,616995,
