DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y16,M,TR,1966,318903,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y16,M,TR,1980,547828,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y16,M,TR,2020,620735,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,F,TR,1966,246997,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,F,TR,1980,440224,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,F,TR,2020,595958,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,M,TR,1966,282136,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,M,TR,1980,472103,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y17,M,TR,2020,632193,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,F,TR,1966,342403,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,F,TR,1980,533946,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,F,TR,2020,641325,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,M,TR,1966,346395,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,M,TR,1980,529940,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y18,M,TR,2020,678325,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,F,TR,1966,165673,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,F,TR,1980,344149,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,F,TR,2020,655511,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,M,TR,1966,230501,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,M,TR,1980,398453,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y19,M,TR,2020,691980,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,F,TR,1966,488953,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,F,TR,1980,605519,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,F,TR,2020,629886,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,M,TR,1966,511386,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,M,TR,1980,638134,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y2,M,TR,2020,664293,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,F,TR,1966,457364,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,F,TR,1980,626344,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,F,TR,2020,662284,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,M,TR,1966,382914,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,M,TR,1980,576133,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y20,M,TR,2020,690730,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,F,TR,1966,134689,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,F,TR,1980,295253,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,F,TR,2020,657015,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,M,TR,1966,221849,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,M,TR,1980,365855,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y21,M,TR,2020,691171,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,F,TR,1966,214737,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,F,TR,1980,364235,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,F,TR,2020,652528,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,M,TR,1966,229995,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,M,TR,1980,362950,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y22,M,TR,2020,688264,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,F,TR,1966,178434,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,F,TR,1980,307068,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,F,TR,2020,632319,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,M,TR,1966,214395,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,M,TR,1980,337314,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y23,M,TR,2020,664616,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,F,TR,1966,166388,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,F,TR,1980,354242,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,F,TR,2020,627558,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,M,TR,1966,190988,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,M,TR,1980,410545,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y24,M,TR,2020,657593,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,F,TR,1966,498998,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,F,TR,1980,532102,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,F,TR,2020,649334,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,M,TR,1966,337614,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,M,TR,1980,465926,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y25,M,TR,2020,673605,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,F,TR,1966,164210,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,F,TR,1980,322854,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,F,TR,2020,635420,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,M,TR,1966,185566,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,M,TR,1980,359541,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y26,M,TR,2020,656949,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,F,TR,1966,160118,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,F,TR,1980,272518,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,F,TR,2020,613756,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,M,TR,1966,185868,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,M,TR,1980,313931,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y27,M,TR,2020,636826,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,F,TR,1966,201860,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,F,TR,1980,304548,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,F,TR,2020,613389,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,M,TR,1966,196703,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,M,TR,1980,319622,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y28,M,TR,2020,636050,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,F,TR,1966,111598,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,F,TR,1980,200093,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,F,TR,2020,614755,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,M,TR,1966,140077,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,M,TR,1980,242693,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y29,M,TR,2020,637227,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,F,TR,1966,509962,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,F,TR,1980,612836,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,F,TR,2020,640643,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,M,TR,1966,512153,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,M,TR,1980,631480,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y3,M,TR,2020,674973,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,F,TR,1966,556491,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,F,TR,1980,507459,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,F,TR,2020,627930,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,M,TR,1966,352884,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,M,TR,1980,436973,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y30,M,TR,2020,646738,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,F,TR,1966,106295,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,F,TR,1980,182821,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,F,TR,2020,629187,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,M,TR,1966,156178,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,M,TR,1980,248158,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y31,M,TR,2020,644268,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,F,TR,1966,178843,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,F,TR,1980,236016,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,F,TR,2020,626005,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,M,TR,1966,229236,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,M,TR,1980,259009,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y32,M,TR,2020,642264,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,F,TR,1966,150219,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,F,TR,1980,197358,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,F,TR,2020,631337,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,M,TR,1966,195620,
